ceo_names,ceo_names,ceo_pctApprove,ceo_pctDisapprove,company_name,compensation_rating,culture_rating,overallRating,ratingDescription,recommendToFriendRating,seniorLeadershipRating,workLifeBalanceRating,Growth,Annual Rainfall,Annual Snowfall,Avg_Commute_work,HQ_City,HQ_State,population,crime_rate_per_1000,diversity
Noah Brier,Noah Brier,81,19,Percolate,3.8,4.1,4,Satisfied,73,3.5,3.8,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Nion McEvoy,Nion McEvoy,94,6,Chronicle Books,3.3,4.7,4,Satisfied,87,3.9,4.1,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Neil Cole,Neil Cole,69,31,Iconix Brand Group,3.3,2.6,3.5,Satisfied,19,3,3.8,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Neil Book,Neil Book,100,0,Jet Support Services,3.6,3.2,3.8,Satisfied,65,3,3.2,,39.2,24.6,24,Chicago,Illinois,2725153,74.90659418,70.57
Neal Blue,Neal Blue,89,11,General Atomics,3.8,3.3,3.7,Satisfied,79,3.1,3.6,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Natarajan Chandrasekaran,Natarajan Chandrasekaran,90,10,Tata Consultancy Services,2.9,3.7,3.5,Satisfied,73,2.9,3.5,,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Muktesh Pant,Muktesh Pant,61,39,KFC,2.5,2.9,3.2,OK,48,2.8,2.9,,48.9,12.5,,Louisville,Kentucky,#N/A,#N/A,65.21
Morris Goldfarb,Morris Goldfarb,0,100,DKNY,2.6,2.7,2.6,OK,44,2.7,2.8,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Morgan Dene Oliver,Morgan Dene Oliver,71,29,OliverMcMillan,3.4,3.3,3.1,OK,61,3,3.1,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Moody L. Chisholm,Moody L. Chisholm,70,30,St. Vincent's HealthCare,3.5,3.9,3.5,Satisfied,66,2.5,3.7,,54.5,0,26.9,Jacksonville,Florida,880557,77.97806742,67.51
Monica Lozano,Monica Lozano,44,56,ImpreMedia,2.2,2.3,2.4,Dissatisfied,11,1.8,2.7,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Mohamed Haouache,Mohamed Haouache,51,49,Storefront,3.2,3.4,3.2,OK,43,3.5,3.3,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Mitch Luciano,Mitch Luciano,100,0,Trailer Bridge,3.2,4,3.4,OK,50,3.1,3.5,,54.5,0,26.9,Jacksonville,Florida,880557,77.97806742,67.51
Mitch Galbraith,Mitch Galbraith,0,0,IGN Entertainment,3.1,4.1,3.2,OK,69,2.8,3.4,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Mitch Barns,Mitch Barns,86,14,Nielsen,3,3.7,3.6,Satisfied,71,3.2,3.4,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Mindy Grossman,Mindy Grossman,97,3,Weight Watchers,3.4,4.1,4,Satisfied,76,3.8,4,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Mike Sangiacomo,Mike Sangiacomo,91,9,Recology,4,4.2,4,Satisfied,79,3.6,3.9,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Mike _—©DeFrino,Mike _—©DeFrino,98,2,Kimpton Hotels & Restaurants,3.8,4.5,4.3,Very Satisfied,84,4,3.9,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Mike Rohrkemper,Mike Rohrkemper,100,0,Gold Star Chili,2.7,3.9,3.6,Satisfied,48,3.5,3.3,,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Mike Parker,Mike Parker,50,50,iCrossing,3.1,2.9,3,OK,55,2.7,3.3,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Mike Murphy,Mike Murphy,84,16,Sharp HealthCare,3.8,3.9,3.9,Satisfied,84,3.3,3.8,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Mike Lister,Mike Lister,58,42,Famous Dave's,2.4,3.1,2.9,OK,46,2.5,2.9,,27.3,54,21.1,Minnetonka,Minnesota,52055,30.691766,#N/A
Mike Karns,Mike Karns,0,0,El Fenix,2.8,3.2,3,OK,40,2.5,3.1,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Mike Jeffries,Mike Jeffries,36,64,Hollister Co.,2.5,3.3,3.2,OK,53,2.8,3.4,,41.7,25.9,27.4,Greenwood,Indiana,56502,74.05590949,#N/A
Mike Hislop,Mike Hislop,58,42,Corner Bakery Cafe,2.6,3.1,3.2,OK,52,2.8,3,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Mike Azevedo,Mike Azevedo,82,18,Clustrix,3.9,4.1,4.3,Very Satisfied,88,4.3,4.3,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Michelle R. Seitz,Michelle R. Seitz,0,0,Russell Investments,3,2.7,2.9,OK,37,2.4,3.3,,38.4,5,20.1,Seattle,Washington,700313,116.0652774,65.65
Michel Landel,Michel Landel,75,25,Sodexo,3,3.1,3.2,OK,58,2.8,3.1,,44.5,20.2,30.8,Gaithersburg,Maryland,#N/A,#N/A,71.04
Michael T. Prior,Michael T. Prior,70,30,Atlantic Tele-Network,3.1,2.7,2.7,OK,29,2.4,3,,47.7,43.8,19.8,Boston,Massachusetts,673880,50.16048798,68.96
Michael S. Dell,Michael S. Dell,89,11,Dell,3.5,3.7,3.7,Satisfied,75,3.3,3.8,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Michael S. Burke,Michael S. Burke,70,30,AECOM,3.2,3.1,3.3,OK,62,2.9,3.4,,39.2,24.6,,Chicago,Illinois,2725153,74.90659418,70.57
Michael R. Bloomberg,Michael R. Bloomberg,90,10,Bloomberg L.P.,4,3.8,3.6,Satisfied,70,3.1,3.6,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Michael Preysman,Michael Preysman,85,15,Everlane,3.4,4.2,3.9,Satisfied,65,3.9,3.5,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Michael Pellegrino,Michael Pellegrino,55,45,Anna Sui,1.7,3,3,OK,34,3,3,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Michael P. Gregoire,Michael P. Gregoire,69,31,CA Technologies,3.8,3.5,3.2,OK,50,3,3.9,,41.8,123.8,,DriveIslandia,New York,#N/A,#N/A,#N/A
Michael Meek,Michael Meek,62,38,Lifetouch,2.4,3.1,2.9,OK,43,2.7,2.8,,27.3,54,19.7,Eden Prairie,Minnesota,64037,23.70336582,#N/A
Michael Linnington,Michael Linnington,80,20,Wounded Warrior Project,3.9,3.6,3.3,OK,56,2.9,3.3,,54.5,0,26.9,Jacksonville,Florida,880557,77.97806742,67.51
Michael L. Tipsord,Michael L. Tipsord,46,54,State Farm,3.3,3.2,3.2,OK,51,2.7,3.1,,39.2,24.6,21,Bloomington,Illinois,78604,38.71411598,#N/A
Michael L. Browne,Michael L. Browne,85,15,Harleysville Group,3.3,2.9,3.3,OK,65,3.5,3.7,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Michael J. Kowalski,Michael J. Kowalski,80,20,Tiffany & Co.,3.4,3.2,3.2,OK,52,2.7,2.9,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Michael J. Grebe,Michael J. Grebe,60,40,Interline Brands,3,2.6,3.1,OK,41,2.4,2.6,,54.5,0,26.9,Jacksonville,Florida,880557,77.97806742,67.51
Michael Guyette,Michael Guyette,84,16,Blue Cross Blue Shield of Minnesota,3.9,3.7,3.5,Satisfied,50,3.3,3.7,,27.3,54,0,Eagan,Minnesota,66698,35.43589483,#N/A
Michael F. Neidorff,Michael F. Neidorff,66,34,Centene,3.7,2.8,2.9,OK,47,2.5,2.7,0.1449,42.2,17,18.1,Saint Louis,Missouri,#N/A,#N/A,#N/A
Michael El-Hillow,Michael El-Hillow,30,70,Evergreen Solar,2.7,2.8,3.1,OK,39,2.7,3.2,,47.7,43.8,19.8,Boston,Massachusetts,673880,50.16048798,68.96
Michael Dell,Michael Dell,79,21,EMC,3.8,3.7,3.8,Satisfied,77,3.2,3.7,,38.4,5,20.1,Seattle,Washington,700313,116.0652774,65.65
Michael D. Kloiber,Michael D. Kloiber,100,0,Tinker Federal Credit Union,3.8,3.5,3.2,OK,62,3,3.3,,36.5,7.8,13.2,Oklahoma City,Oklahoma,641681,86.00019059,65.01
Michael Corbat,Michael Corbat,89,11,Citi,3.5,3.5,3.6,Satisfied,72,3.1,3.4,,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Michael C. Hild,Michael C. Hild,0,0,Live Well Financial,2.5,3,2.5,OK,38,2.6,3.6,,44.3,10.3,24.6,Richmond,Virginia,#N/A,#N/A,68.57
Michael Byars,Michael Byars,100,0,Fiesta Mart,2.5,3.3,3.1,OK,42,2.7,2.9,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Michael Blair,Michael Blair,100,0,Debevoise & Plimpton,3.8,4,4,Satisfied,80,3.6,3,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Michael B. Solow,Michael B. Solow,69,31,Kaye Scholer,3.4,2.9,3.1,OK,47,2.2,2.8,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Michael B. Polk,Michael B. Polk,55,45,Newell Rubbermaid,3.2,2.7,3,OK,49,2.5,3,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Michael A. Narachi,Michael A. Narachi,100,0,Orexigen Therapeutics,3.8,3.1,3.3,OK,58,3.5,3,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Michael A. Lucas,Michael A. Lucas,57,43,Powell Industries,3.1,3.5,3,OK,49,2.6,3.7,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
"Michael ""Mick"" Farrell","Michael ""Mick"" Farrell",96,4,ResMed,4,3.9,3.9,Satisfied,75,3.6,3.7,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Mehul Patel,Mehul Patel,93,7,Hired,4.4,4.4,4,Satisfied,75,3.8,4.5,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Megan Deans,Megan Deans,95,5,The Mosaic Company,4.2,4.3,4.5,Very Satisfied,91,4,4,-0.3363,27.3,54,33.7,Plymouth,Minnesota,76996,27.18915232,64.42
Mauricio Gutierrez,Mauricio Gutierrez,85,15,NRG Energy,3.8,3.2,3.5,Satisfied,57,3.1,3.5,0.4844,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Matti Shem Tov,Matti Shem Tov,59,41,ProQuest,3.3,3.2,3,OK,42,2.6,3.9,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Matthew Kull,Matthew Kull,0,0,RevZilla,3.4,3.7,3.4,OK,56,3.1,2.9,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Matthew J. Simoncini,Matthew J. Simoncini,95,5,Lear Corporation,3.8,3.7,3.8,Satisfied,77,3.7,3.5,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Matthew J. (Matt) Missad,Matthew J. (Matt) Missad,85,15,Universal Forest Products,3,3.4,3.5,Satisfied,71,2.9,2.8,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Matthew A. (Matt) Ouimet,Matthew A. (Matt) Ouimet,73,27,Cedar Fair,2.2,3.5,3.5,Satisfied,75,2.9,2.8,,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Matt Wise,Matt Wise,77,23,ePrize,3.2,3.4,3,OK,48,2.9,2.8,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Matt Sanchez,Matt Sanchez,69,31,SAY Media,2.9,3.5,2.8,OK,46,2.7,4,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Matt Mullenweg,Matt Mullenweg,100,0,Automattic,4.7,4.6,4.9,Very Satisfied,100,4.4,4.6,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Matt Friedman,Matt Friedman,53,47,Wing Zone,2.1,2.6,2.7,OK,46,2.7,2.6,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Massimo Vian,Massimo Vian,46,54,Luxottica Retail,3.2,3,3,OK,44,2.5,2.9,,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Mary Berner,Mary Berner,100,0,Westwood One,2.4,2.7,2.5,OK,29,2.6,3.4,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Mary Barra,Mary Barra,92,8,General Motors,4,3.5,3.8,Satisfied,76,3.3,3.7,0.0962,39.2,24.6,23.9,Palmyra,Illinois,#N/A,#N/A,#N/A
Marvin Ellison,Marvin Ellison,72,28,J. C. Penney,2.8,3.2,3.1,OK,49,2.7,2.9,,28.9,1.5,23,Plano,Texas,288242,39.54241635,68.46
Martin Wong,Martin Wong,49,51,Think Finance,3.9,3.3,3.1,OK,33,2.5,3.2,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Martin Tschopp,Martin Tschopp,100,0,Kiva,2.9,4.7,4.5,Very Satisfied,99,4.2,4.6,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Martin Seidel,Martin Seidel,35,65,Genomics Institute of the Novartis Research Foundation,3.8,3.8,3.7,Satisfied,68,3.5,3.8,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Martin J. Barrington,Martin J. Barrington,91,9,Altria,4.3,3.7,3.8,Satisfied,72,3.4,3.7,-0.0378,44.3,10.3,24.6,Richmond,Virginia,#N/A,#N/A,68.57
Martin Craighead,Martin Craighead,63,37,Baker Hughes,3.7,3.4,3.5,Satisfied,63,2.7,3.1,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Mark Zuckerberg,Mark Zuckerberg,98,2,Facebook,4.6,4.5,4.6,Very Satisfied,93,4.2,3.8,0.257,22.2,0,22,Menlo Park,California,33726,38.98250113,#N/A
Mark Weinberger,Mark Weinberger,92,8,EY,3.3,3.8,3.7,Satisfied,78,3.4,2.9,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Mark W. DeYoung,Mark W. DeYoung,54,46,Alliant Techsystems,3.5,2.7,2.9,OK,43,2.2,3,,44.3,10.3,29.1,Arlington,Virginia,#N/A,#N/A,64.25
Mark Valade,Mark Valade,82,18,Carhartt,3.4,3.3,3.4,OK,71,2.9,3.2,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Mark T. Bertolini,Mark T. Bertolini,73,27,Aetna,3.4,3.3,3.3,OK,60,2.9,3.3,0.2141,50.3,40.5,15.2,Hartford,Connecticut,123736,95.79160926,67.03
Mark S. Hoplamazian,Mark S. Hoplamazian,92,8,Hyatt,3.7,4,3.9,Satisfied,79,3.4,3.3,,39.2,24.6,24,Chicago,Illinois,2725153,74.90659418,70.57
Mark S. Flegenheimer,Mark S. Flegenheimer,66,34,Michigan Sugar Company,2.8,2.9,3.4,OK,70,2.7,3.2,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Mark Rossi,Mark Rossi,0,100,Maxwell Technologies,3,2.7,2.5,OK,21,1.9,2.8,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Mark Kelsey,Mark Kelsey,81,19,LexisNexis Risk Solutions,3.3,3.5,3.4,OK,61,3.1,3.8,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Mark Kelly & Scott Wulfe,Mark Kelly & Scott Wulfe,87,13,Vinson & Elkins,4,4.2,3.9,Satisfied,85,3.8,3.3,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Mark Gross,Mark Gross,62,38,SUPERVALU,3.2,2.8,2.9,OK,41,2.6,3,,27.3,54,19.7,Eden Prairie,Minnesota,64037,23.70336582,#N/A
Mark G. Parker,Mark G. Parker,93,7,NIKE,3.6,4.1,3.9,Satisfied,83,3.3,3.7,0.0427,27.4,3,20.1,Beaverton,Oregon,97907,30.33875734,65.02
Mark G. Contreras,Mark G. Contreras,14,86,Calkins Media,2.1,2.8,2.5,OK,27,2.3,3.4,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Mark Frissora,Mark Frissora,78,22,Caesars Entertainment,3.7,3.5,3.6,Satisfied,69,3.2,3.2,,9.5,21.8,,las vegas,nevada,#N/A,#N/A,67.09
Mark E. Lucas,Mark E. Lucas,12,88,Imation,3.1,2.8,2.6,OK,21,1.9,3.4,,27.3,54,24.3,Oakdale,Minnesota,28211,64.17784983,#N/A
Mark C. Rohr,Mark C. Rohr,82,18,Celanese,3.7,3.4,3.4,OK,64,3.1,3.4,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Mark Breitbard,Mark Breitbard,78,22,Banana Republic,3.1,3.7,3.6,Satisfied,68,3.1,3.3,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Mark Boyer,Mark Boyer,71,29,Foundation Financial Group,2.6,2.8,2.5,OK,30,2.6,2,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Mark Bartels,Mark Bartels,74,26,StumbleUpon,4,3.1,3.3,OK,52,2.7,4,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Mark Almeida,Mark Almeida,75,25,Moody's Analytics,3.2,3.2,3.3,OK,56,3,3.4,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Mark A. Wallace,Mark A. Wallace,96,4,Texas Children's Hospital,3.9,4,4,Satisfied,79,3.3,3.7,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Mark A. Danzenbaker,Mark A. Danzenbaker,57,43,GridPoint,2.9,3,3,OK,49,2.8,3.5,,44.3,10.3,29.1,Arlington,Virginia,#N/A,#N/A,64.25
Marissa Mayer,Marissa Mayer,73,27,Yahoo,4,4,3.8,Satisfied,71,3.1,4.1,,22.2,0,26.9,Sunnyvale,California,154108,28.99150752,#N/A
Marillyn Hewson,Marillyn Hewson,88,12,Lockheed,3.6,3.6,3.7,Satisfied,74,3.2,3.8,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Mariam Naficy,Mariam Naficy,91,9,Minted,2.9,3.4,3.6,Satisfied,72,3.3,3.3,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Marcelo Claure,Marcelo Claure,73,27,Sprint,3.5,3.1,3.2,OK,54,2.8,3.1,,42.2,17,0,Kansas City,Missouri,478364,103.9359789,65.35
Marc N. Casper,Marc N. Casper,75,25,Thermo Fisher Scientific,3.3,3.2,3.3,OK,60,2.9,3.2,17.74,47.7,43.8,,Waltham,Massachusetts,63613,23.57605159,#N/A
Marc Katz,Marc Katz,95,5,CustomInk,3.5,3.8,3.4,OK,65,3.2,3.6,,44.3,10.3,25.1,Fairfax,Virginia,24173,36.09716971,#N/A
Marc Holliday,Marc Holliday,81,19,SL Green Realty,3.9,2.8,3,OK,47,3,2.9,-0.2035,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Marc H. Hedrick,Marc H. Hedrick,60,40,Cytori Therapeutics,2.7,3.8,2.8,OK,25,2.4,3.2,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Marc Bitzer,Marc Bitzer,7,93,Whirlpool Corporation,3.3,3.5,3.5,Satisfied,67,3,3.4,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Marc Benioff,Marc Benioff,98,2,Salesforce,4.4,4.5,4.3,Very Satisfied,87,4,4,0.0754,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Manuel E. Ramos,Manuel E. Ramos,70,30,ASARCO,3.7,2.7,3.2,OK,55,2.9,3.1,,28.9,1.5,11.2,Amarillo,Texas,200141,102.261822,#N/A
Lynwen Brennan,Lynwen Brennan,83,17,Industrial Light & Magic,3.2,3.9,3.1,OK,54,3.1,3,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Lynne Doughtie,Lynne Doughtie,93,7,KPMG,3.3,3.7,3.9,Satisfied,80,3.4,2.9,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Lynn R. Blodgett,Lynn R. Blodgett,32,68,Affiliated Computer Services,2.3,2.2,2.4,Dissatisfied,29,2.1,2.7,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Lynn J. Good,Lynn J. Good,77,23,Duke Energy,3.8,3.4,3.5,Satisfied,70,3.1,3.5,0.0258,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Lyndon Rive,Lyndon Rive,78,22,SolarCity,3.1,3.4,3.2,OK,51,2.9,2.8,,22.2,0,26.2,San Mateo,California,104802,43.60104036,#N/A
Lucian Grainge,Lucian Grainge,77,23,Universal Music Group,3.6,3.4,3.6,Satisfied,67,3,3.3,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Lucas Duplan,Lucas Duplan,59,41,Clinkle,3.4,3.3,3.3,OK,53,2.9,3.6,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Lowell McAdam,Lowell McAdam,71,29,Verizon,4.1,3.3,3.6,Satisfied,66,2.9,3.2,-0.1163,47.1,16.5,34.2,Basking Ridge,New Jersey,#N/A,#N/A,#N/A
"Louis Hernandez, Jr.","Louis Hernandez, Jr.",27,73,Avid Technology,2.8,2.2,2.3,Dissatisfied,25,1.8,2.5,,47.7,43.8,19.8,Boston,Massachusetts,673880,50.16048798,68.96
Louis Beryl,Louis Beryl,69,31,Earnest,3.4,3.7,3.4,OK,49,3.1,3.9,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Lonnie J. Stout II,Lonnie J. Stout II,89,11,J. Alexander's,3.4,3.6,3.4,OK,51,2.7,2.7,,54.2,6.3,21.7,Nashville,Tennessee,668685,85.0998294,68.23
Logan Green,Logan Green,92,8,Lyft,2.8,3.3,4.1,Very Satisfied,79,2.8,3.7,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Lloyd H. Dean,Lloyd H. Dean,80,20,Dignity Health,3.9,3.7,3.6,Satisfied,71,3.1,3.6,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Lloyd C. Blankfein,Lloyd C. Blankfein,93,7,Goldman Sachs,3.9,3.8,3.9,Satisfied,77,3.5,2.8,0.2717,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Lloyd Buzz Waterhouse,Lloyd Buzz Waterhouse,32,68,McGraw-Hill Education,3.3,3.2,3.3,OK,54,2.9,3.7,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Lisa Harper,Lisa Harper,50,50,Belk,2.6,2.7,2.7,OK,37,2.3,2.4,,50.3,7.6,,Charlotte,North Carolina,#N/A,#N/A,69.56
Lewis Horowitz,Lewis Horowitz,73,27,Lane Powell,3.6,3.6,3.9,Satisfied,69,3.5,3.9,,38.4,5,20.1,Seattle,Washington,700313,116.0652774,65.65
Lew Cirne,Lew Cirne,96,4,New Relic,3.8,4.1,3.8,Satisfied,71,3.6,4,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Leslie Moonves,Leslie Moonves,73,27,CBS,3.1,3.3,3.4,OK,65,3,3.3,0.2153,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Les Wexner,Les Wexner,83,17,Victoria's Secret,3.4,3.5,3.5,Satisfied,64,2.9,2.9,,39.1,27.5,,EastReynoldsburg,Ohio,#N/A,#N/A,#N/A
Leonard Riggio,Leonard Riggio,75,25,Barnes & Noble,2.9,3.8,3.6,Satisfied,67,3.1,3.6,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Leonard A. Comma,Leonard A. Comma,67,33,Jack in the Box,2.6,2.9,3.1,OK,49,2.6,2.6,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Leigh Rawdon,Leigh Rawdon,84,16,Tea Collection,1.8,2.7,2.8,OK,7,2.7,3.5,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Lee Tillman,Lee Tillman,41,59,Marathon Oil,3.9,3.2,3,OK,56,2.6,3.8,-0.2145,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Lee Schram,Lee Schram,19,81,VerticalResponse,2.9,3.6,3.2,OK,45,2.8,4,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Lee Newman,Lee Newman,27,73,Mullen,3.3,3.3,2.8,OK,45,3,2.4,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Lee K. Boothby,Lee K. Boothby,80,20,Newfield Exploration,4.3,3.6,3.6,Satisfied,73,3.1,3.8,-0.8086,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Lee J. Schram,Lee J. Schram,53,47,Deluxe Corporation,3.4,3.1,3,OK,56,2.6,3.5,,27.3,54,#N/A,Shoreview,Minnesota,#N/A,#N/A,#N/A
Lawrence A. Cohen,Lawrence A. Cohen,34,66,Capital Senior Living,2.5,2.6,2.8,OK,34,2.6,2.6,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Laurent Uberti,Laurent Uberti,44,56,Sitel,2.4,2.5,2.7,OK,40,2.3,2.7,,54.2,6.3,21.7,Nashville,Tennessee,668685,85.0998294,68.23
Laurence D. Fink,Laurence D. Fink,92,8,BlackRock,3.3,3.7,3.7,Satisfied,74,3.4,3.5,0.1357,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Laura Mitchell,Laura Mitchell,100,0,Cincinnati Public Schools,3,3.2,2.9,OK,69,2.3,3.1,,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Laura J. Alber,Laura J. Alber,42,58,Pottery Barn,2.5,3,2.9,OK,48,2.7,2.9,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Lars Bj’_rk,Lars Bj’_rk,64,36,Qlik,3.5,3.3,3.3,OK,60,2.8,3.7,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Larry J. Merlo,Larry J. Merlo,40,60,CVS Health,2.7,2.7,2.8,OK,36,2.4,2.6,-18.02,47.9,33.8,,Woonsocket,Rhode Island,41511,53.31225749,63.2
Larry De Shon,Larry De Shon,59,41,Avis Budget Group,3.1,3,3.1,OK,53,2.6,2.8,,47.1,16.5,,parsippany,new jersey,#N/A,#N/A,#N/A
Kurt L. Darrow,Kurt L. Darrow,75,25,La-Z-Boy,2.6,3.3,3.1,OK,48,2.9,2.9,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Kunimasa Suzuki,Kunimasa Suzuki,58,42,Sony,3.7,3.6,3.5,Satisfied,77,2.9,3.6,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Kunal Kapoor,Kunal Kapoor,76,24,Morningstar,3,3.9,3.4,OK,64,3.2,4.1,,39.2,24.6,24,Chicago,Illinois,2725153,74.90659418,70.57
Kristi Savacool,Kristi Savacool,85,15,Aon Hewitt,3.1,3.4,3.3,OK,66,2.9,3.4,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Kosta N. Kartsotis,Kosta N. Kartsotis,79,21,Fossil,3.2,3.8,3.5,Satisfied,67,3,3.6,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Konrad Feldman,Konrad Feldman,91,9,Quantcast,3.6,3.9,3.7,Satisfied,62,3.5,4.1,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
